"","country.x","country_code","iso","designation","Country","country_emissions","global_emissions","emissions_share","readiness_2021","vulnerability_2021","gdp_reformed","gdp_2021","country.y","renewable_share_2020","env_exposure_2022","emissions_share_scaled","readiness_2021_scaled","vulnerability_2021_scaled","gdp_reformed_scaled","renewable_share_2020_scaled","env_exposure_2022_scaled"
"14","Iceland","176","ISL","advanced_economy","Iceland",155.31924,1693867.357528,9.1695042890885e-05,0.720612612108791,0.307894137296934,35774308957.963,25552639899,"Iceland",0.999839698702553,0.1,0.000367641499227503,0.873093727721194,0.146804703328221,0.0010394541600842,0.000160301297447374,0
"15","Ireland","178","IRL","advanced_economy","Ireland",2263.34887,1693867.357528,0.00133620195226094,0.599930574533736,0.297587191529376,756273904914,504182603276,"Ireland",0.417550492537609,1.6,0.00536407767346654,0.692378347959842,0.123054180584659,0.0219918345911149,0.582449507462391,0.185185185185185
"16","Israel","436","ISR","advanced_economy","Israel",2428.609351,1693867.357528,0.00143376595587996,0.542475367884345,0.305448456446076,632570299010.616,488526545879,"Israel",0.0624368013743992,2.8,0.00575577683826459,0.606342018962213,0.141169066934884,0.0183944904341917,0.937563198625601,0.333333333333333
"17","Italy","136","ITA","advanced_economy","Italy",25065.176247,1693867.357528,0.0147976027376663,0.528435439662085,0.326078144107751,2734898763889.87,2114355756914,"Italy",0.41678860222017,2.8,0.0594087995900161,0.585317921163649,0.188706511785267,0.0795309380246809,0.58321139777983,0.333333333333333
"18","Japan","158","JPN","advanced_economy","Japan",66711.083302,1693867.357528,0.0393838885940614,0.690355888096363,0.378136635839995,6414421566250.42,5005536736792,"Japan",0.194394853892643,6.7,0.158117619218229,0.82778578065542,0.308666043907179,0.186532748979776,0.805605146107357,0.814814814814815
"19","Korea","542","KOR","advanced_economy","South Korea",18927.931711,1693867.357528,0.0111743883763266,0.728628642519787,0.370271654909064,2384503703377.46,1810955871381,"Korea, Rep. of",0.0583312593330015,5.5,0.0448623481675941,0.885097336617843,0.290542594663299,0.0693413270239023,0.941668740666998,0.666666666666667
"20","Latvia","941","LVA","advanced_economy","Latvia",960.503278,1693867.357528,0.000567047516283531,0.585590039038051,0.364734536653247,46765732437.5755,39725383601,"Latvia",0.637489462598645,3.5,0.00227608272658495,0.670904105643771,0.277783290788575,0.00135908860195758,0.362510537401355,0.419753086419753
"21","Lithuania","946","LTU","advanced_economy","Lithuania",1575.839871,1693867.357528,0.000930320703091978,0.599581362317969,0.369806773944441,84043259016.5981,66414994992,"Lithuania",0.466733121884912,2.6,0.00373454894966086,0.691855419946214,0.289471359190412,0.00244313212230842,0.533266878115088,0.308641975308642
"22","Luxembourg","137","LUX","advanced_economy","Luxembourg",761.954187,1693867.357528,0.000449831082471524,0.670269218418277,0.301776686287763,128259365751,85506243834,"Luxembourg",0.43687029998196,1,0.00180548314557494,0.797706986727545,0.132708125874281,0.00372895198213631,0.56312970001804,0.111111111111111
"23","Macao SAR","546","MAC","advanced_economy","Macao",57.860081,1693867.357528,3.41585666332457e-05,0.408639120435922,0.419955665541114,44659317694.6569,30123795337,NA,0.250402982311001,3.45,0.000136644524323258,0.405928860803244,0.405030557549653,0.00129783332397147,0.749597017688999,0.41358024691358
"24","Malta","181","MLT","advanced_economy","Malta",105.585989,1693867.357528,6.23342722384652e-05,0.501001597432243,0.340110467704283,23436829247.6787,17743376199,"Malta",0.113290870488323,0.1,0.000249764117039611,0.544237099887363,0.221041504928771,0.000680675931892418,0.886709129511677,0
"25","Netherlands","138","NLD","advanced_economy","Netherlands",11879.457647,1693867.357528,0.00701321599604863,0.686860447592992,0.354500297376164,1440721561470.08,1011798853062,"Netherlands, The",0.267072826752306,2.6,0.0281561072849385,0.822551531460654,0.254200307216615,0.0418958120059273,0.732927173247694,0.308641975308642
"26","New Zealand","196","NZL","advanced_economy","New Zealand",1916.907678,1693867.357528,0.00113167519846271,0.700840497649587,0.294296029160004,333133392041.381,255551704626,"New Zealand",0.804130928480643,2.8,0.00454294533295229,0.843485964668985,0.115470282457189,0.00968676037421064,0.195869071519357,0.333333333333333
"27","Norway","142","NOR","advanced_economy","Norway",2672.221889,1693867.357528,0.0015775862715129,0.762780591284391,0.262319313725924,729697054412.6,490293364377,"Norway",0.97958351081709,0.6,0.00633318546670089,0.936238190009114,0.0417856309310315,0.0212189704764237,0.0204164891829103,0.0617283950617284
"28","Portugal","182","PRT","advanced_economy","Portugal",2656.068305,1693867.357528,0.00156804976091884,0.577479892748329,0.321365957918873,304340761722.25,253982847571,"Portugal",0.567219879993064,2.4,0.00629489836186489,0.658759562875708,0.177848117089614,0.0088494606068791,0.432780120006936,0.283950617283951
"29","Puerto Rico","359","PRI","advanced_economy","Puerto Rico",0.208848,1693867.357528,1.23296549208427e-07,0.408639120435922,0.419955665541114,126007453177.035,106368900000,"Puerto Rico",0.0246123161131118,3.45,0,0.405928860803244,0.405030557549653,0.00366346557629797,0.975387683886888,0.41358024691358
"30","San Marino","135","SMR","advanced_economy",NA,491.16402,1693867.357528,0.000289966045934551,0.63884343193207,0.419955665541114,1855382833,1855382833,NA,0.250402982311001,3.45,0.00116365830271112,0.750648426454049,0.405030557549653,5.30799164744688e-05,0.749597017688999,0.41358024691358
"31","Singapore","576","SGP","advanced_economy","Singapore",2101.495042,1693867.357528,0.00124064911733519,0.805360836304684,0.375230839343832,635695493059.5,423796995373,"Singapore",0.0411160769155354,0.1,0.00498045293231038,1,0.301970152871494,0.0184853721709761,0.958883923084465,0
